origin,suite,case,status,seconds,message
Android,com.ugreen.home.ExampleUnitTest,addition_isCorrect,passed,0.001,
Android,com.ugreen.home.messaging.handlers.OtaUpgradeMessageHandlerTest,otherMessageTypeIsNotHandled,passed,0.004,
Android,com.ugreen.home.messaging.handlers.OtaUpgradeMessageHandlerTest,type6WakesProcessRefreshWithSn,passed,0.133,
Android,com.ugreen.home.messaging.handlers.OtaUpgradeMessageHandlerTest,type6WithoutSnIsConsumedWithoutWake,passed,0.002,
Android,com.ugreen.home.messaging.handlers.ShareDeviceUnbindMessageHandlerTest,expired share is ignored before session login,passed,0.047,
Android,com.ugreen.home.messaging.handlers.ShareDeviceUnbindMessageHandlerTest,active share is left for the regular share handler,passed,0.001,
Android,com.ugreen.home.messaging.handlers.ShareDeviceUnbindMessageHandlerTest,expired share refreshes canonical device list and shows revoked feedback,passed,0.002,
Android,com.ugreen.home.rn.DetectZoneNativeRouteTest,outdoor cameras route each lens to its matching editor,passed,0.0,
Android,com.ugreen.home.rn.DetectZoneNativeRouteTest,ID500 always keeps the single-lens editor,passed,0.0,
Android,com.ugreen.home.rn.DetectZoneNativeRouteTest,outdoor cameras reject a missing or unknown lens,passed,0.001,
Android,com.ugreen.home.rn.DeviceRNBridgeShareTargetTest,keeps current device when AI Base parent id is missing,passed,0.0,
Android,com.ugreen.home.rn.DeviceRNBridgeShareTargetTest,uses AI Base parent for an empowered child device,passed,0.0,
Android,com.ugreen.home.rn.DeviceRNBridgeShareTargetTest,preserves known share business codes for RN,passed,0.019,
Android,com.ugreen.home.rn.DeviceRNBridgeShareTargetTest,keeps current device when parent is not AI Base,passed,0.0,
Android,com.ugreen.home.rn.DeviceRNBridgeShareTargetTest,maps shared user permissions to stable RN permission types,passed,0.001,
Android,com.ugreen.home.rn.DeviceRNBridgeShareTargetTest,share image uses the compact RN URI even when legacy fields are populated,passed,0.0,
Android,com.ugreen.home.rn.DeviceRNBridgeShareTargetTest,uses generic bridge code for unknown share failures,passed,0.0,
Android,com.ugreen.home.rn.DeviceRuntimePropertyWriteRecoveryTest,mismatched readback preserves the original write error,passed,0.001,
Android,com.ugreen.home.rn.DeviceRuntimePropertyWriteRecoveryTest,successful write does not trigger a recovery refresh,passed,0.001,
Android,com.ugreen.home.rn.DeviceRuntimePropertyWriteRecoveryTest,failed refresh preserves the original write error,passed,0.001,
Android,com.ugreen.home.rn.DeviceRuntimePropertyWriteRecoveryTest,failed write is recovered only when refreshed values match,passed,0.0,
