run,class,test,status,message
host-without-ota,com.ugreen.feature.auth.AppLogConfigurationCheckerTest,rethrows cancellation wrapped by whitelist result,passed,
host-without-ota,com.ugreen.feature.auth.AppLogConfigurationCheckerTest,does not query when user is not eligible,passed,
host-without-ota,com.ugreen.feature.auth.AppLogConfigurationCheckerTest,retries task query after failure,passed,
host-without-ota,com.ugreen.feature.auth.AppLogConfigurationCheckerTest,foreground cancellation cancels the active whitelist request,passed,
host-without-ota,com.ugreen.feature.auth.AppLogConfigurationCheckerTest,coalesces concurrent foreground events,passed,
host-without-ota,com.ugreen.feature.auth.AppLogConfigurationCheckerTest,does not query task when user is not whitelisted,passed,
host-without-ota,com.ugreen.feature.auth.AppLogConfigurationCheckerTest,refreshes whitelist but does not query task when local log collection is disabled,passed,
host-without-ota,com.ugreen.feature.auth.AppLogConfigurationCheckerTest,returns failure when whitelist query fails,passed,
host-without-ota,com.ugreen.feature.auth.AppLogConfigurationCheckerTest,queries task only for authorized whitelisted user,passed,
host-without-ota,com.ugreen.feature.auth.AppLogConfigurationCheckerTest,rethrows cancellation wrapped by task result,passed,
host-without-ota,com.ugreen.feature.auth.AppLogConfigurationCheckerTest,check task after whitelist confirmation returns task request result,passed,
host-without-ota,com.ugreen.feature.auth.AppLogUploadManagerCancellationTest,cancellable result unwrap preserves ordinary exception,passed,
host-without-ota,com.ugreen.feature.auth.AppLogUploadManagerCancellationTest,cancellable result unwrap rethrows wrapped cancellation,passed,
host-without-ota,com.ugreen.feature.auth.AppLogUploadManagerCancellationTest,suspend result preserves ordinary failure as result,passed,
host-without-ota,com.ugreen.feature.auth.AppLogUploadManagerCancellationTest,suspend result returns successful value,passed,
host-without-ota,com.ugreen.feature.auth.AppLogUploadManagerCancellationTest,suspend result rethrows cancellation,passed,
host-without-ota,com.ugreen.home.iot.ThingPropertyValueCodecTest,encode_decode_primitives,passed,
host-without-ota,com.ugreen.home.iot.ThingPropertyValueCodecTest,encode_complexType_returnsNull,passed,
host-without-ota,com.ugreen.home.iot.ThingPropertyValueCodecTest,decode_legacyJsonType_returnsRawString,passed,
host-without-ota,com.ugreen.home.iot.ThingJsonTest,encodeDynamic_enum_encodesAsName,passed,
host-without-ota,com.ugreen.home.iot.ThingJsonTest,encodeDynamic_unsupportedType_throws,passed,
host-without-ota,com.ugreen.home.iot.ThingJsonTest,encodeDynamic_primitives,passed,
host-without-ota,com.ugreen.home.iot.ThingJsonTest,encodeDynamic_set_encodesAsArray,passed,
host-without-ota,com.ugreen.home.iot.ThingJsonTest,decodeToMap_invalidJson_returnsNull,passed,
host-without-ota,com.ugreen.home.iot.ThingJsonTest,encodeDynamic_map_roundTrip,passed,
host-without-ota,com.ugreen.home.iot.ThingJsonTest,convertPropertyValue_intFromDouble,passed,
host-without-ota,com.ugreen.home.iot.ThingJsonTest,convertPropertyValue_mapFromString,passed,
host-without-ota,com.ugreen.home.playback.event.PlaybackEventQueryControllerTest,invalidCursorMarksOnlyThatDayPartial,passed,
host-without-ota,com.ugreen.home.playback.event.PlaybackEventQueryControllerTest,retriesACompletionWithTheSameCursor,passed,
host-without-ota,com.ugreen.home.playback.event.PlaybackEventQueryControllerTest,daysRunConcurrentlyWhilePagesWithinOneDayStaySerial,passed,
host-without-ota,com.ugreen.home.playback.event.PlaybackEventQueryControllerTest,queryAllKeepsResultsLocalToEachQueryIncludingEmptySuccess,passed,
host-without-ota,com.ugreen.home.playback.event.PlaybackEventQueryControllerTest,queryAllReturnsOnlyAfterTheLastPageArrives,passed,
host-without-ota,com.ugreen.home.playback.event.PlaybackEventQueryControllerTest,splitsThreeDaysAndPaginatesEachDayWithPageSizeFifty,passed,
host-without-ota,com.ugreen.home.playback.event.PlaybackEventQueryControllerTest,oneFailedDayDoesNotCancelOtherDays,passed,
host-without-ota,com.ugreen.home.playback.event.PlaybackEventQueryControllerTest,queryAllDoesNotReturnPartialDataWhenALaterPageFails,passed,
host-without-ota,com.ugreen.home.playback.event.PlaybackEventQueryControllerTest,cancellationStopsTheCurrentPageAndDoesNotStartAnotherOne,passed,
host-without-ota,com.ugreen.home.playback.event.PlaybackEventTimeListTest,largeCompressedPageIsNotTruncated,passed,
host-without-ota,com.ugreen.home.playback.event.PlaybackEventTimeListTest,formalChildrenWinAndParentChildDuplicatesAreRetained,passed,
host-without-ota,com.ugreen.home.playback.event.PlaybackEventTimeListTest,oldDevicesEmptyPagesAndUnknownTypesKeepLegacySemantics,passed,
host-without-ota,com.ugreen.home.playback.event.PlaybackEventTimeListTest,invalidRequiredFieldsAreSkippedAndInvalidPayloadThrowsTypedError,passed,
