来源,平台相关性,模块,source set,相对路径,语言,静态 @Test 数,分类
Android 主工程,Android instrumented/device,app,androidTest,app/src/androidTest/java/com/ugreen/home/ExampleInstrumentedTest.kt,kt,1,AGP/KMP 示例模板
Android 主工程,Android instrumented/device,app,androidTest,app/src/androidTest/java/com/ugreen/home/ui/dev/IPCDeviceSettingActivityBackStackTest.kt,kt,2,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/ExampleUnitTest.kt,kt,1,AGP/KMP 示例模板
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/messaging/handlers/OtaUpgradeMessageHandlerTest.kt,kt,3,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/messaging/handlers/ShareDeviceUnbindMessageHandlerTest.kt,kt,3,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/rn/DetectZoneNativeRouteTest.kt,kt,3,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/rn/DeviceRNBridgeShareTargetTest.kt,kt,7,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/rn/DeviceRuntimePropertyWriteRecoveryTest.kt,kt,4,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/rn/DeviceRuntimeWritePolicyTest.kt,kt,6,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/rn/DeviceSettingAvailabilityAdapterTest.kt,kt,3,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/rn/DeviceSettingDebugEntryVisibilityTest.kt,kt,2,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/rn/DeviceSettingProfilePolicyTest.kt,kt,4,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/rn/NativeIpcPlayerStatePolicyTest.kt,kt,3,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/rn/Od800ManagementDestinationTest.kt,kt,4,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/rn/PrivacyZoneNativeRouteTest.kt,kt,3,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/rn/device/settings/IpcSettingPageUiTest.kt,kt,3,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/rn/host/AppRNModuleLifecycleHostTest.kt,kt,2,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/rn/host/DeviceSettingsKeepAliveCoordinatorTest.kt,kt,2,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/ui/dev/OtaCmpDebugScenariosTest.kt,kt,5,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/ui/dev/OtaOverallFlowFinishedTest.kt,kt,4,测试源码
Android 主工程,Android local unit,app,test,app/src/test/java/com/ugreen/home/util/KeepAliveManagerTest.kt,kt,8,测试源码
Android 主工程,Android instrumented/device,bluetooth,androidTest,bluetooth/src/androidTest/java/com/ugreen/bluetooth/ExampleInstrumentedTest.kt,kt,1,AGP/KMP 示例模板
Android 主工程,Android local unit,bluetooth,test,bluetooth/src/test/java/com/ugreen/bluetooth/ExampleUnitTest.kt,kt,1,AGP/KMP 示例模板
Android 主工程,Android instrumented/device,calendarview,androidTest,calendarview/src/androidTest/java/com/haibin/calendarview/CalendarUtilTest.java,java,12,测试源码
Android 主工程,Android instrumented/device,calendarview,androidTest,calendarview/src/androidTest/java/com/haibin/calendarview/ExampleInstrumentedTest.java,java,1,AGP/KMP 示例模板
Android 主工程,Android instrumented/device,calendarview,androidTest,calendarview/src/androidTest/java/com/haibin/calendarview/LunarCalendarTest.java,java,4,测试源码
Android 主工程,Android instrumented/device,calendarview,androidTest,calendarview/src/androidTest/java/com/haibin/calendarview/LunarUtilTest.java,java,1,测试源码
Android 主工程,Android instrumented/device,calendarview,androidTest,calendarview/src/androidTest/java/com/haibin/calendarview/SolarTermUtilTest.java,java,1,测试源码
Android 主工程,Android local unit,calendarview,test,calendarview/src/test/java/com/haibin/calendarview/ExampleUnitTest.java,java,1,AGP/KMP 示例模板
Android 主工程,Android instrumented/device,camera,androidTest,camera/src/androidTest/java/com/ugreen/camera/ExampleInstrumentedTest.kt,kt,1,AGP/KMP 示例模板
Android 主工程,Android local unit,camera,test,camera/src/test/java/com/ugreen/camera/ExampleUnitTest.kt,kt,1,AGP/KMP 示例模板
Android 主工程,Android instrumented/device,common,androidTest,common/src/androidTest/java/com/ugreen/common/ExampleInstrumentedTest.kt,kt,1,AGP/KMP 示例模板
Android 主工程,Android instrumented/device,core/core-device,androidTest,core/core-device/src/androidTest/java/com/ugreen/device/ExampleInstrumentedTest.kt,kt,1,AGP/KMP 示例模板
Android 主工程,Android local unit,core/core-device,test,core/core-device/src/test/java/com/ugreen/device/ExampleUnitTest.kt,kt,1,AGP/KMP 示例模板
Android 主工程,Android instrumented/device,core/core-device-setup,androidTest,core/core-device-setup/src/androidTest/java/com/ugreen/device/ExampleInstrumentedTest.kt,kt,1,AGP/KMP 示例模板
Android 主工程,Android local unit,core/core-device-setup,test,core/core-device-setup/src/test/java/com/ugreen/device/BleAdvParserTest.kt,kt,1,测试源码
Android 主工程,Android local unit,core/core-device-setup,test,core/core-device-setup/src/test/java/com/ugreen/device/BleParserTest.kt,kt,3,测试源码
Android 主工程,Android local unit,core/core-device-setup,test,core/core-device-setup/src/test/java/com/ugreen/device/DeviceSNParserTest.kt,kt,8,测试源码
