suite,test,result,failure_kind
DeviceHostRNBridgeServiceTests,testApplyingUpdatedDeviceNameRefreshesRuntimeContextSource,passed,
DeviceHostRNBridgeServiceTests,testCopyTextWritesPasteboardAndSettlesCompletionOnMainThread,passed,
DeviceRNBridgeShareErrorTests,testKnownShareEnumBecomesDecimalStringCode,passed,
DeviceRNBridgeShareErrorTests,testServerErrorBecomesDecimalStringCode,passed,
DeviceRNBridgeShareErrorTests,testUnknownErrorBecomesGenericShareFailure,passed,
DeviceRelationRegistryTests,testAIBaseIsGatewayAndCanBeDisplayedIndependently,passed,
DeviceRelationRegistryTests,testAggregatesChildrenEvenWhenTheyPrecedeGatewayInInput,passed,
DeviceRelationRegistryTests,testAggregatesGatewayAndMultipleIPCAndHidesEmptyGateway,passed,
DeviceRelationRegistryTests,testBuildsSoloAndMultiLevelTopology,passed,
DeviceRelationRegistryTests,testHistoryProviderIsCloudLikeAndDoesNotPersist,passed,
DeviceRelationRegistryTests,testHistoryProviderPropagatesCloudFailure,passed,
DeviceRelationRegistryTests,testOmitsAmbiguousIndexes,passed,
DeviceRelationRegistryTests,testRefreshCoordinatorKeepsLastSnapshotAfterFailure,passed,
DeviceRelationRegistryTests,testRefreshCoordinatorPublishesCloudAndRTCXInputs,passed,
DeviceRelationRegistryTests,testReportsMissingAndDuplicateNodeIDs,passed,
DeviceRelationRegistryTests,testReportsMissingParentAndCycle,passed,
DeviceRelationRegistryTests,testRootGatewayDoesNotUseNestedGatewayBundleRule,passed,
DeviceRelationRegistryTests,testStoreClearsSnapshotWhenAccountChanges,passed,
DeviceRelationRegistryTests,testStoreDeviceIdLookupIsLimitedToCurrentFormalSnapshot,passed,
DeviceRelationRegistryTests,testStoreProvidesUnifiedIoTIDLookupAndTopologyQueries,passed,
DeviceRelationRegistryTests,testStorePublishesLatestSnapshotAndRejectsOtherAccounts,passed,
DeviceRelationRegistryTests,testStoreReturnsUnknownForUnavailableOrAmbiguousIoTID,passed,
DeviceRelationRegistryTests,testTopologyDoesNotDependOnDeviceBusinessRole,passed,
DeviceRelationRegistryTests,testTopologyProvidesOnlyDirectChildrenForAIBasePageProjection,passed,
DeviceRuntimeFaceCountsReaderTests,testEmptyFaceListMapsToZeroCounts,passed,
DeviceRuntimeFaceCountsReaderTests,testExplicitAIBaseRouteCarriesChildSNWithBigEndianLength,passed,
DeviceRuntimeFaceCountsReaderTests,testMapsFamiliarAndStrangerCountsFromFaceList,passed,
DeviceRuntimeFaceCountsReaderTests,testOnlyAIBaseChildSupportsFaceCounts,passed,
DeviceRuntimeFaceCountsReaderTests,testSupportedDeviceMapsTransportResponse,passed,
DeviceRuntimeFaceCountsReaderTests,testTransportFailureSurfacesToCaller,passed,
DeviceRuntimeFaceCountsReaderTests,testUnsupportedDeviceDoesNotUseTransport,passed,
DeviceRuntimeFirmwareHostSnapshotTests,testFileSizeIsClampedToJavaScriptSafeIntegerRange,passed,
DeviceRuntimeFirmwareHostSnapshotTests,testFirmwareEventIndexEmitsOnlyForRealFiveFieldChanges,failed,assertion
DeviceRuntimeFirmwareHostSnapshotTests,testFirmwareHostEventTargetsOnlyMatchingRequestedDevice,passed,
DeviceRuntimeFirmwareHostSnapshotTests,testFirstRuntimeContextSnapshotOnlyEstablishesBaseline,passed,
DeviceRuntimeFirmwareHostSnapshotTests,testMissingCheckResultReturnsRequiredEmptySnapshot,passed,
DeviceRuntimeFirmwareHostSnapshotTests,testOnlyCheckResultFieldsAreProjected,passed,
DeviceRuntimeFirmwareHostSnapshotTests,testRuntimeRouteRebindRemovesOldReverseIndex,passed,
DeviceRuntimeFirmwareHostSnapshotTests,testRuntimeRouteRebindToSameDevicePreservesBinding,failed,assertion
DeviceRuntimePropertyEventIndexTests,testBaselinesAreIsolatedByDeviceId,passed,
DeviceRuntimePropertyEventIndexTests,testLatestReadRemovesARequestedValueThatIsNoLongerPresent,passed,
DeviceRuntimePropertyEventIndexTests,testObserverReturnsOnlyActuallyChangedValues,passed,
DeviceRuntimePropertyEventIndexTests,testReadBaselineSuppressesMatchingFirstObserverValue,passed,
DeviceRuntimePropertyWritePolicyTests,testAiBaseManagedTimezoneWriteIsRejected,passed,
DeviceRuntimePropertyWritePolicyTests,testNativeWriteTimeoutDefaultsToTwentySeconds,passed,
