module_directory,declaration,dependency_project,source_path,line,source_text
device-biz,implementation,:core-net,ugreenhome-shared/device-biz/build.gradle.kts,27,"implementation(project("":core-net""))"
device-biz,implementation,:core-logger,ugreenhome-shared/device-biz/build.gradle.kts,28,"implementation(project("":core-logger""))"
device-biz,implementation,:core-database,ugreenhome-shared/device-biz/build.gradle.kts,29,"implementation(project("":core-database""))"
device-biz,implementation,:core-ui,ugreenhome-shared/device-biz/build.gradle.kts,30,"implementation(project("":core-ui""))"
device-biz,implementation,:device-thing-model,ugreenhome-shared/device-biz/build.gradle.kts,31,"implementation(project("":device-thing-model""))"
device-biz,api,:core-util,ugreenhome-shared/device-biz/build.gradle.kts,32,"api(project("":core-util""))"
feature-third-party-services,implementation,:core-net,ugreenhome-shared/feature-third-party-services/build.gradle.kts,56,"implementation(project("":core-net""))"
feature-third-party-services,implementation,:core-logger,ugreenhome-shared/feature-third-party-services/build.gradle.kts,57,"implementation(project("":core-logger""))"
feature-third-party-services,implementation,:core-mvi,ugreenhome-shared/feature-third-party-services/build.gradle.kts,58,"implementation(project("":core-mvi""))"
feature-third-party-services,implementation,:core-navigation,ugreenhome-shared/feature-third-party-services/build.gradle.kts,59,"implementation(project("":core-navigation""))"
feature-third-party-services,implementation,:core-ui,ugreenhome-shared/feature-third-party-services/build.gradle.kts,60,"implementation(project("":core-ui""))"
feature-third-party-services,implementation,:core-util,ugreenhome-shared/feature-third-party-services/build.gradle.kts,61,"implementation(project("":core-util""))"
feature-third-party-services,implementation,:domain-env,ugreenhome-shared/feature-third-party-services/build.gradle.kts,62,"implementation(project("":domain-env""))"
feature-home-management,implementation,:core-ui,ugreenhome-shared/feature-home-management/build.gradle.kts,32,"implementation(project("":core-ui""))"
feature-home-management,implementation,:core-mvi,ugreenhome-shared/feature-home-management/build.gradle.kts,33,"implementation(project("":core-mvi""))"
feature-home-management,implementation,:core-navigation,ugreenhome-shared/feature-home-management/build.gradle.kts,34,"implementation(project("":core-navigation""))"
feature-home-management,implementation,:core-net,ugreenhome-shared/feature-home-management/build.gradle.kts,35,"implementation(project("":core-net""))"
feature-home-management,implementation,:core-kv,ugreenhome-shared/feature-home-management/build.gradle.kts,36,"implementation(project("":core-kv""))"
feature-home-management,implementation,:core-logger,ugreenhome-shared/feature-home-management/build.gradle.kts,37,"implementation(project("":core-logger""))"
feature-home-management,implementation,:core-util,ugreenhome-shared/feature-home-management/build.gradle.kts,38,"implementation(project("":core-util""))"
core/core-ui,implementation,:core-net,ugreenhome-shared/core/core-ui/build.gradle.kts,52,"implementation(project("":core-net""))"
core/core-ui,implementation,:core-kv,ugreenhome-shared/core/core-ui/build.gradle.kts,53,"implementation(project("":core-kv""))"
core/core-ui,implementation,:core-logger,ugreenhome-shared/core/core-ui/build.gradle.kts,54,"implementation(project("":core-logger""))"
core/core-ui,implementation,:core-util,ugreenhome-shared/core/core-ui/build.gradle.kts,55,"implementation(project("":core-util""))"
core/core-net,implementation,:core-logger,ugreenhome-shared/core/core-net/build.gradle.kts,26,"implementation(project("":core-logger""))"
core/core-mvi,implementation,:core-util,ugreenhome-shared/core/core-mvi/build.gradle.kts,23,"implementation(project("":core-util""))"
feature-playback,implementation,:core-util,ugreenhome-shared/feature-playback/build.gradle.kts,25,"implementation(project("":core-util""))"
feature-playback,implementation,:core-logger,ugreenhome-shared/feature-playback/build.gradle.kts,26,"implementation(project("":core-logger""))"
device-thing-model,implementation,:core-util,ugreenhome-shared/device-thing-model/build.gradle.kts,23,"implementation(project("":core-util""))"
device-thing-model,implementation,:core-database,ugreenhome-shared/device-thing-model/build.gradle.kts,24,"implementation(project("":core-database""))"
device-thing-model,implementation,:core-logger,ugreenhome-shared/device-thing-model/build.gradle.kts,25,"implementation(project("":core-logger""))"
feature-ota,implementation,:core-kv,ugreenhome-shared/feature-ota/build.gradle.kts,28,"implementation(project("":core-kv""))"
feature-ota,implementation,:core-logger,ugreenhome-shared/feature-ota/build.gradle.kts,29,"implementation(project("":core-logger""))"
feature-ota,implementation,:core-net,ugreenhome-shared/feature-ota/build.gradle.kts,30,"implementation(project("":core-net""))"
feature-ota,implementation,:core-ui,ugreenhome-shared/feature-ota/build.gradle.kts,31,"implementation(project("":core-ui""))"
feature-ota,implementation,:core-util,ugreenhome-shared/feature-ota/build.gradle.kts,32,"implementation(project("":core-util""))"
feature-ota,implementation,:ugreen-strings-kmp,ugreenhome-shared/feature-ota/build.gradle.kts,33,"implementation(project("":ugreen-strings-kmp""))"
feature-device-event,implementation,:core-net,ugreenhome-shared/feature-device-event/build.gradle.kts,31,"implementation(project("":core-net""))"
feature-device-event,implementation,:core-logger,ugreenhome-shared/feature-device-event/build.gradle.kts,32,"implementation(project("":core-logger""))"
feature-device-event,implementation,:core-ui,ugreenhome-shared/feature-device-event/build.gradle.kts,33,"implementation(project("":core-ui""))"
feature-device-event,implementation,:core-util,ugreenhome-shared/feature-device-event/build.gradle.kts,34,"implementation(project("":core-util""))"
