source_path,counting_rule,static_test_count
Tools/test_import_uhkit_images.py,Python def test,9
Tools/国际化/l10n_tool/test_l10n_diff_tool.py,Python def test,8
Tools/rn-bundle-tool/test/integration-smoke.test.js,Node test,5
Tools/rn-bundle-tool/test/smoke.test.js,Node test,7
Tools/rn-bundle-tool/test/xcode-resource.test.js,Node test,3
Tools/rn-bundle-tool/test/target-discovery.test.js,Node test,6
LocalPods/UHReactNativeRuntime/Tests/CoreTests/UgreenRNManifestValidatorTests.swift,Swift func test,5
LocalPods/UHReactNativeRuntime/Tests/CoreTests/UgreenRNHostRegistryStateTests.swift,Swift func test,4
iot/UgreenHomeTests/UHSecurityReportAttentionItemTests.swift,Swift func test,2
iot/UgreenHomeTests/UGUUIDManagerTests.swift,Swift func test,14
iot/UgreenHomeTests/IPCSettingRootPolicyTests.swift,Swift func test,4
iot/UgreenHomeTests/QRCodeRNBridgeServiceTests.swift,Swift func test,2
iot/UgreenHomeTests/IPCFeatureActionGuardTests.swift,Swift func test,4
iot/UgreenHomeTests/UHCellularThingModelPolicyTests.swift,Swift func test,3
iot/UgreenHomeTests/UHLoopVideoViewTests.swift,Swift func test,9
iot/UgreenHomeTests/DeviceRelationRegistryTests.swift,Swift func test,19
iot/UgreenHomeTests/DeviceRNBridgeShareErrorTests.swift,Swift func test,3
iot/UgreenHomeTests/StorageRNBridgeServiceTests.swift,Swift func test,4
iot/UgreenHomeTests/DeviceSettingsNavigationSwipePolicyTests.swift,Swift func test,4
iot/UgreenHomeTests/PermissionManagerPolicyTests.swift,Swift func test,5
iot/UgreenHomeTests/UHThemedFileResolverTests.swift,Swift func test,2
iot/UgreenHomeTests/DeviceRuntimeFirmwareHostSnapshotTests.swift,Swift func test,8
iot/UgreenHomeTests/UGProductCatalogTests.swift,Swift func test,5
iot/UgreenHomeTests/DeviceRuntimePropertyEventIndexTests.swift,Swift func test,4
iot/UgreenHomeTests/DeviceRuntimeTimeZoneAdapterTests.swift,Swift func test,4
iot/UgreenHomeTests/DeviceHostRNBridgeServiceTests.swift,Swift func test,2
iot/UgreenHomeTests/NetworkRNBridgeEnvelopeDecoderTests.swift,Swift func test,3
